0 bytes,8 bytes,32 bytes,256 bytes,512 bytes,1024 bytes,4096 bytes,8192 bytes
36900,38900,39300,39500,39500,40000,40600,45100
36900,39000,39300,39600,39500,40000,40600,45100
36900,39000,39300,39600,39500,40000,40600,45100
36900,39000,39300,39600,39500,40000,40600,45100
36900,39100,39300,39600,39500,40000,40600,45100
36900,39100,39300,39600,39500,40000,40600,45100
37000,39100,39300,39600,39500,40000,40600,45100
37000,39100,39300,39600,39500,40000,40600,45100
37000,39100,39300,39600,39500,40000,40600,45100
37000,39100,39300,39600,39500,40000,40600,45100
37000,39200,39300,39600,39500,40000,40600,45200
37000,39200,39300,39600,39500,40000,40600,45200
37000,39200,39300,39600,39500,40000,40600,45200
37000,39200,39300,39600,39500,40100,40600,45200
37000,39200,39300,39600,39500,40100,40600,45200
37000,39200,39300,39600,39500,40100,40600,45200
37000,39200,39300,39600,39500,40100,40600,45300
37000,39200,39300,39600,39500,40100,40600,45300
37000,39300,39300,39600,39500,40100,40600,45300
37000,39300,39300,39600,39500,40100,40600,45300
37000,39300,39300,39600,39500,40100,40600,45300
37000,39300,39300,39600,39500,40100,40600,45300
37000,39300,39300,39600,39500,40100,40600,45300
37000,39300,39300,39600,39500,40100,40600,45300
37100,39300,39300,39600,39500,40100,40600,45300
37100,39300,39300,39600,39500,40100,40600,45300
37100,39300,39300,39600,39500,40100,40600,45300
37100,39400,39300,39600,39500,40100,40600,45300
37100,39400,39300,39600,39500,40100,40700,45300
37100,39400,39300,39600,39500,40100,40700,45300
37100,39400,39300,39600,39600,40100,40700,45300
37100,39400,39300,39600,39600,40100,40700,45400
37100,39400,39300,39600,39600,40100,40700,45400
37100,39400,39300,39600,39600,40100,40700,45400
37100,39400,39300,39600,39600,40100,40700,45400
37100,39400,39400,39600,39600,40100,40700,45500
37100,39400,39400,39600,39600,40200,40700,45500
37100,39400,39400,39600,39600,40200,40700,45500
37100,39400,39400,39600,39600,40200,40700,45500
37100,39400,39400,39600,39600,40200,40700,45500
37100,39400,39400,39600,39600,40200,40700,45500
37100,39400,39400,39600,39600,40200,40700,45500
37100,39500,39400,39600,39600,40200,40700,45500
37100,39500,39400,39600,39600,40200,40700,45600
37100,39500,39400,39600,39600,40200,40700,45600
37100,39500,39400,39600,39600,40200,40700,45600
37100,39500,39400,39600,39600,40200,40700,45600
37200,39500,39400,39600,39600,40200,40700,45600
37200,39500,39400,39600,39600,40200,40700,45600
37200,39500,39400,39700,39600,40200,40700,45600
37200,39500,39400,39700,39600,40200,40700,45600
37200,39500,39400,39700,39600,40200,40700,45600
37200,39500,39400,39700,39600,40200,40700,45600
37200,39500,39400,39700,39600,40200,40700,45600
37200,39500,39400,39700,39600,40200,40700,45600
37200,39500,39400,39700,39600,40300,40800,45600
37200,39500,39400,39700,39600,40300,40800,45700
37200,39500,39400,39700,39600,40300,40800,45700
37200,39500,39400,39700,39600,40300,40800,45700
37200,39500,39400,39700,39600,40300,40800,45700
37200,39500,39400,39700,39600,40300,40800,45700
37200,39600,39400,39700,39600,40300,40800,45700
37200,39600,39400,39700,39600,40300,40800,45700
37200,39600,39400,39700,39600,40300,40800,45700
37200,39600,39400,39700,39600,40300,40800,45700
37200,39600,39400,39700,39600,40300,40800,45700
37200,39600,39400,39700,39600,40300,40800,45700
37200,39600,39400,39700,39600,40300,40800,45700
37200,39600,39400,39700,39600,40300,40800,45800
37200,39600,39400,39700,39600,40300,40900,45800
